 CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
 103.20%             254.4MiB / 1.944GiB   12.78%              22.7MB / 29.8MB     0B / 0B             233
 102.57%             254.7MiB / 1.944GiB   12.80%              23.9MB / 31.3MB     0B / 0B             233
 102.57%             254.7MiB / 1.944GiB   12.80%              23.9MB / 31.3MB     0B / 0B             233
 102.95%             255.1MiB / 1.944GiB   12.82%              24.8MB / 32.8MB     0B / 0B             233
 102.95%             255.1MiB / 1.944GiB   12.82%              24.8MB / 32.8MB     0B / 0B             233
 104.92%             255.5MiB / 1.944GiB   12.84%              26.2MB / 34.4MB     0B / 0B             233
 104.92%             255.5MiB / 1.944GiB   12.84%              26.2MB / 34.4MB     0B / 0B             233
 105.34%             271.3MiB / 1.944GiB   13.63%              27.3MB / 36MB       0B / 0B             233
 105.34%             271.3MiB / 1.944GiB   13.63%              27.3MB / 36MB       0B / 0B             233
 104.83%             303.1MiB / 1.944GiB   15.23%              28.4MB / 37.6MB     0B / 0B             233
 104.83%             303.1MiB / 1.944GiB   15.23%              28.4MB / 37.6MB     0B / 0B             233
 105.85%             304.2MiB / 1.944GiB   15.28%              29.6MB / 39.1MB     0B / 0B             233
 105.85%             304.2MiB / 1.944GiB   15.28%              29.6MB / 39.1MB     0B / 0B             233
 103.36%             304MiB / 1.944GiB   15.27%              30.7MB / 40.8MB     0B / 0B             233
 103.36%             304MiB / 1.944GiB   15.27%              30.7MB / 40.8MB     0B / 0B             233
 103.50%             304.4MiB / 1.944GiB   15.29%              31.9MB / 42.3MB     0B / 0B             233
 103.50%             304.4MiB / 1.944GiB   15.29%              31.9MB / 42.3MB     0B / 0B             233
 103.78%             304.5MiB / 1.944GiB   15.30%              33.1MB / 44.2MB     0B / 0B             233
 103.78%             304.5MiB / 1.944GiB   15.30%              33.1MB / 44.2MB     0B / 0B             233
 102.14%             305.2MiB / 1.944GiB   15.33%              34.5MB / 45.8MB     0B / 0B             233
 102.14%             305.2MiB / 1.944GiB   15.33%              34.5MB / 45.8MB     0B / 0B             233
 103.03%             305.4MiB / 1.944GiB   15.34%              35.7MB / 47.4MB     0B / 0B             233
 103.03%             305.4MiB / 1.944GiB   15.34%              35.7MB / 47.4MB     0B / 0B             233
 103.05%             305.7MiB / 1.944GiB   15.36%              37MB / 49.3MB       0B / 0B             233
 103.05%             305.7MiB / 1.944GiB   15.36%              37MB / 49.3MB       0B / 0B             233
 102.50%             306.4MiB / 1.944GiB   15.40%              38.3MB / 51.1MB     0B / 0B             233
 102.50%             306.4MiB / 1.944GiB   15.40%              38.3MB / 51.1MB     0B / 0B             233
 103.24%             307.1MiB / 1.944GiB   15.43%              39.7MB / 52.9MB     0B / 0B             233
 103.24%             307.1MiB / 1.944GiB   15.43%              39.7MB / 52.9MB     0B / 0B             233
 106.29%             307.4MiB / 1.944GiB   15.44%              41MB / 54.5MB       0B / 0B             233
 106.29%             307.4MiB / 1.944GiB   15.44%              41MB / 54.5MB       0B / 0B             233
 103.30%             307.6MiB / 1.944GiB   15.45%              42.2MB / 56.4MB     0B / 0B             233
 103.30%             307.6MiB / 1.944GiB   15.45%              42.2MB / 56.4MB     0B / 0B             233
 103.25%             308.1MiB / 1.944GiB   15.48%              43.6MB / 58.1MB     0B / 0B             233
 103.25%             308.1MiB / 1.944GiB   15.48%              43.6MB / 58.1MB     0B / 0B             233
 102.77%             308.4MiB / 1.944GiB   15.49%              44.9MB / 60MB       0B / 0B             233
 102.77%             308.4MiB / 1.944GiB   15.49%              44.9MB / 60MB       0B / 0B             233
 103.26%             309MiB / 1.944GiB   15.52%              46.3MB / 61.8MB     0B / 0B             233
 103.26%             309MiB / 1.944GiB   15.52%              46.3MB / 61.8MB     0B / 0B             233
 104.87%             309.1MiB / 1.944GiB   15.53%              47.7MB / 63.8MB     0B / 0B             233
 104.87%             309.1MiB / 1.944GiB   15.53%              47.7MB / 63.8MB     0B / 0B             233
 103.30%             309.8MiB / 1.944GiB   15.57%              49.3MB / 65.8MB     0B / 0B             233
