CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
56.69%              59.61MiB / 1.944GiB   3.00%               60.2MB / 46.1MB     0B / 0B             23
56.69%              59.61MiB / 1.944GiB   3.00%               60.2MB / 46.1MB     0B / 0B             23
51.23%              59.9MiB / 1.944GiB   3.01%               62.2MB / 47.6MB     0B / 0B             23
51.23%              59.9MiB / 1.944GiB   3.01%               62.2MB / 47.6MB     0B / 0B             23
52.00%              59.81MiB / 1.944GiB   3.00%               64.2MB / 49.2MB     0B / 0B             23
52.00%              59.81MiB / 1.944GiB   3.00%               64.2MB / 49.2MB     0B / 0B             23
59.03%              60.51MiB / 1.944GiB   3.04%               66.4MB / 50.8MB     0B / 0B             23
59.03%              60.51MiB / 1.944GiB   3.04%               66.4MB / 50.8MB     0B / 0B             23
50.89%              60.2MiB / 1.944GiB   3.02%               68.3MB / 52.3MB     0B / 0B             23
50.89%              60.2MiB / 1.944GiB   3.02%               68.3MB / 52.3MB     0B / 0B             23
53.93%              60.38MiB / 1.944GiB   3.03%               70.5MB / 54MB       0B / 0B             23
53.93%              60.38MiB / 1.944GiB   3.03%               70.5MB / 54MB       0B / 0B             23
52.30%              60.77MiB / 1.944GiB   3.05%               72.5MB / 55.5MB     0B / 0B             23
52.30%              60.77MiB / 1.944GiB   3.05%               72.5MB / 55.5MB     0B / 0B             23
53.47%              61.13MiB / 1.944GiB   3.07%               74.5MB / 57.1MB     0B / 0B             23
53.47%              61.13MiB / 1.944GiB   3.07%               74.5MB / 57.1MB     0B / 0B             23
56.10%              61.07MiB / 1.944GiB   3.07%               76.6MB / 58.7MB     0B / 0B             23
56.10%              61.07MiB / 1.944GiB   3.07%               76.6MB / 58.7MB     0B / 0B             23
50.82%              61.19MiB / 1.944GiB   3.07%               78.5MB / 60.1MB     0B / 0B             23
50.82%              61.19MiB / 1.944GiB   3.07%               78.5MB / 60.1MB     0B / 0B             23
51.83%              61.1MiB / 1.944GiB   3.07%               80.6MB / 61.7MB     0B / 0B             23
51.83%              61.1MiB / 1.944GiB   3.07%               80.6MB / 61.7MB     0B / 0B             23
51.99%              61.29MiB / 1.944GiB   3.08%               82.7MB / 63.3MB     0B / 0B             23
51.99%              61.29MiB / 1.944GiB   3.08%               82.7MB / 63.3MB     0B / 0B             23
53.96%              61.42MiB / 1.944GiB   3.09%               84.8MB / 64.9MB     0B / 0B             23
53.96%              61.42MiB / 1.944GiB   3.09%               84.8MB / 64.9MB     0B / 0B             23
49.04%              62.14MiB / 1.944GiB   3.12%               86.8MB / 66.5MB     0B / 0B             23
49.04%              62.14MiB / 1.944GiB   3.12%               86.8MB / 66.5MB     0B / 0B             23
53.93%              61.94MiB / 1.944GiB   3.11%               88.9MB / 68.1MB     0B / 0B             23
53.93%              61.94MiB / 1.944GiB   3.11%               88.9MB / 68.1MB     0B / 0B             23
51.05%              62.46MiB / 1.944GiB   3.14%               90.9MB / 69.6MB     0B / 0B             23
51.05%              62.46MiB / 1.944GiB   3.14%               90.9MB / 69.6MB     0B / 0B             23
51.57%              63.43MiB / 1.944GiB   3.19%               93.1MB / 71.3MB     0B / 0B             23
51.57%              63.43MiB / 1.944GiB   3.19%               93.1MB / 71.3MB     0B / 0B             23
50.36%              64.31MiB / 1.944GiB   3.23%               95MB / 72.8MB       0B / 0B             23
