CPU %               MEM USAGE / LIMIT    MEM %               NET I/O             BLOCK I/O           PIDS
76.12%              60.66MiB / 1.944GiB   3.05%               48.3MB / 189MB      0B / 0B             23
75.32%              59.98MiB / 1.944GiB   3.01%               49.9MB / 196MB      0B / 0B             23
75.32%              59.98MiB / 1.944GiB   3.01%               49.9MB / 196MB      0B / 0B             23
116.31%             61.16MiB / 1.944GiB   3.07%               51.9MB / 203MB      0B / 0B             23
116.31%             61.16MiB / 1.944GiB   3.07%               51.9MB / 203MB      0B / 0B             23
47.71%              61.52MiB / 1.944GiB   3.09%               53.2MB / 208MB      0B / 0B             23
47.71%              61.52MiB / 1.944GiB   3.09%               53.2MB / 208MB      0B / 0B             23
76.06%              60.86MiB / 1.944GiB   3.06%               55MB / 216MB        0B / 0B             23
76.06%              60.86MiB / 1.944GiB   3.06%               55MB / 216MB        0B / 0B             23
74.12%              61.44MiB / 1.944GiB   3.09%               56.8MB / 223MB      0B / 0B             23
74.12%              61.44MiB / 1.944GiB   3.09%               56.8MB / 223MB      0B / 0B             23
100.96%             61.55MiB / 1.944GiB   3.09%               58.5MB / 230MB      0B / 0B             23
100.96%             61.55MiB / 1.944GiB   3.09%               58.5MB / 230MB      0B / 0B             23
74.21%              62.25MiB / 1.944GiB   3.13%               60MB / 235MB        0B / 0B             23
74.21%              62.25MiB / 1.944GiB   3.13%               60MB / 235MB        0B / 0B             23
63.30%              62.65MiB / 1.944GiB   3.15%               61.4MB / 241MB      0B / 0B             23
63.30%              62.65MiB / 1.944GiB   3.15%               61.4MB / 241MB      0B / 0B             23
64.87%              62.84MiB / 1.944GiB   3.16%               62.9MB / 247MB      0B / 0B             23
64.87%              62.84MiB / 1.944GiB   3.16%               62.9MB / 247MB      0B / 0B             23
86.94%              62.54MiB / 1.944GiB   3.14%               64.6MB / 254MB      0B / 0B             23
86.94%              62.54MiB / 1.944GiB   3.14%               64.6MB / 254MB      0B / 0B             23
69.11%              61.74MiB / 1.944GiB   3.10%               66.2MB / 260MB      0B / 0B             23
69.11%              61.74MiB / 1.944GiB   3.10%               66.2MB / 260MB      0B / 0B             23
61.93%              61.93MiB / 1.944GiB   3.11%               67.8MB / 267MB      0B / 0B             23
61.93%              61.93MiB / 1.944GiB   3.11%               67.8MB / 267MB      0B / 0B             23
71.83%              62.43MiB / 1.944GiB   3.14%               69.5MB / 273MB      0B / 0B             23
71.83%              62.43MiB / 1.944GiB   3.14%               69.5MB / 273MB      0B / 0B             23
86.26%              62.44MiB / 1.944GiB   3.14%               71.1MB / 279MB      0B / 0B             23
86.26%              62.44MiB / 1.944GiB   3.14%               71.1MB / 279MB      0B / 0B             23
60.13%              61.51MiB / 1.944GiB   3.09%               72.3MB / 285MB      0B / 0B             23
60.13%              61.51MiB / 1.944GiB   3.09%               72.3MB / 285MB      0B / 0B             23
69.42%              61.86MiB / 1.944GiB   3.11%               74.2MB / 292MB      0B / 0B             23
69.42%              61.86MiB / 1.944GiB   3.11%               74.2MB / 292MB      0B / 0B             23
69.21%              62.12MiB / 1.944GiB   3.12%               75.9MB / 298MB      0B / 0B             23
69.21%              62.12MiB / 1.944GiB   3.12%               75.9MB / 298MB      0B / 0B             23
88.72%              62.98MiB / 1.944GiB   3.16%               77.5MB / 305MB      0B / 0B             23
88.72%              62.98MiB / 1.944GiB   3.16%               77.5MB / 305MB      0B / 0B             23
56.19%              61.96MiB / 1.944GiB   3.11%               78.9MB / 310MB      0B / 0B             23
56.19%              61.96MiB / 1.944GiB   3.11%               78.9MB / 310MB      0B / 0B             23
66.22%              63.18MiB / 1.944GiB   3.17%               80.6MB / 317MB      0B / 0B             23
66.22%              63.18MiB / 1.944GiB   3.17%               80.6MB / 317MB      0B / 0B             23
91.95%              63.41MiB / 1.944GiB   3.19%               82.6MB / 324MB      0B / 0B             23
91.95%              63.41MiB / 1.944GiB   3.19%               82.6MB / 324MB      0B / 0B             23
76.32%              64.39MiB / 1.944GiB   3.24%               83.8MB / 329MB      0B / 0B             23
76.32%              64.39MiB / 1.944GiB   3.24%               83.8MB / 329MB      0B / 0B             23
70.31%              62.85MiB / 1.944GiB   3.16%               85.5MB / 336MB      0B / 0B             23
70.31%              62.85MiB / 1.944GiB   3.16%               85.5MB / 336MB      0B / 0B             23
83.30%              63.02MiB / 1.944GiB   3.17%               87.1MB / 343MB      0B / 0B             23
83.30%              63.02MiB / 1.944GiB   3.17%               87.1MB / 343MB      0B / 0B             23
68.87%              62.57MiB / 1.944GiB   3.14%               89MB / 350MB        0B / 0B             23
68.87%              62.57MiB / 1.944GiB   3.14%               89MB / 350MB        0B / 0B             23
65.61%              63.03MiB / 1.944GiB   3.17%               90.7MB / 357MB      0B / 0B             23
65.61%              63.03MiB / 1.944GiB   3.17%               90.7MB / 357MB      0B / 0B             23
75.87%              63.48MiB / 1.944GiB   3.19%               92.3MB / 363MB      0B / 0B             23
75.87%              63.48MiB / 1.944GiB   3.19%               92.3MB / 363MB      0B / 0B             23
73.42%              63.98MiB / 1.944GiB   3.21%               93.8MB / 370MB      0B / 0B             23
73.42%              63.98MiB / 1.944GiB   3.21%               93.8MB / 370MB      0B / 0B             23
97.35%              66.17MiB / 1.944GiB   3.32%               95.7MB / 376MB      0B / 0B             23
97.35%              66.17MiB / 1.944GiB   3.32%               95.7MB / 376MB      0B / 0B             23
58.23%              66.29MiB / 1.944GiB   3.33%               97.4MB / 383MB      0B / 0B             23
58.23%              66.29MiB / 1.944GiB   3.33%               97.4MB / 383MB      0B / 0B             23
91.15%              66.16MiB / 1.944GiB   3.32%               99MB / 390MB        0B / 0B             23
91.15%              66.16MiB / 1.944GiB   3.32%               99MB / 390MB        0B / 0B             23
76.26%              65.83MiB / 1.944GiB   3.31%               101MB / 395MB       0B / 0B             23
76.26%              65.83MiB / 1.944GiB   3.31%               101MB / 395MB       0B / 0B             23
91.28%              66.12MiB / 1.944GiB   3.32%               102MB / 402MB       0B / 0B             23
91.28%              66.12MiB / 1.944GiB   3.32%               102MB / 402MB       0B / 0B             23
83.21%              65.92MiB / 1.944GiB   3.31%               104MB / 408MB       0B / 0B             23
83.21%              65.92MiB / 1.944GiB   3.31%               104MB / 408MB       0B / 0B             23
83.21%              65.92MiB / 1.944GiB   3.31%               104MB / 408MB       0B / 0B             23
83.21%              65.92MiB / 1.944GiB   3.31%               104MB / 408MB       0B / 0B             23
7.52%               65.7MiB / 1.944GiB   3.30%               106MB / 416MB       0B / 0B             23
7.52%               65.7MiB / 1.944GiB   3.30%               106MB / 416MB       0B / 0B             23
63.64%              68.56MiB / 1.944GiB   3.44%               107MB / 423MB       0B / 0B             23
63.64%              68.56MiB / 1.944GiB   3.44%               107MB / 423MB       0B / 0B             23
74.73%              64.98MiB / 1.944GiB   3.26%               109MB / 429MB       0B / 0B             23
74.73%              64.98MiB / 1.944GiB   3.26%               109MB / 429MB       0B / 0B             23
61.33%              66.58MiB / 1.944GiB   3.35%               111MB / 435MB       0B / 0B             23
61.33%              66.58MiB / 1.944GiB   3.35%               111MB / 435MB       0B / 0B             23
90.95%              65.98MiB / 1.944GiB   3.32%               112MB / 441MB       0B / 0B             23
90.95%              65.98MiB / 1.944GiB   3.32%               112MB / 441MB       0B / 0B             23
79.43%              66.3MiB / 1.944GiB   3.33%               114MB / 447MB       0B / 0B             23
79.43%              66.3MiB / 1.944GiB   3.33%               114MB / 447MB       0B / 0B             23
86.21%              67.25MiB / 1.944GiB   3.38%               116MB / 454MB       0B / 0B             23
86.21%              67.25MiB / 1.944GiB   3.38%               116MB / 454MB       0B / 0B             23
90.74%              68.62MiB / 1.944GiB   3.45%               117MB / 461MB       0B / 0B             23
90.74%              68.62MiB / 1.944GiB   3.45%               117MB / 461MB       0B / 0B             23
81.93%              67.32MiB / 1.944GiB   3.38%               119MB / 466MB       0B / 0B             23
81.93%              67.32MiB / 1.944GiB   3.38%               119MB / 466MB       0B / 0B             23
64.44%              67.39MiB / 1.944GiB   3.39%               120MB / 471MB       0B / 0B             23
64.44%              67.39MiB / 1.944GiB   3.39%               120MB / 471MB       0B / 0B             23
84.02%              66.48MiB / 1.944GiB   3.34%               122MB / 479MB       0B / 0B             23
84.02%              66.48MiB / 1.944GiB   3.34%               122MB / 479MB       0B / 0B             23
84.20%              68.14MiB / 1.944GiB   3.42%               123MB / 485MB       0B / 0B             23
84.20%              68.14MiB / 1.944GiB   3.42%               123MB / 485MB       0B / 0B             23
67.04%              67.72MiB / 1.944GiB   3.40%               125MB / 491MB       0B / 0B             23
67.04%              67.72MiB / 1.944GiB   3.40%               125MB / 491MB       0B / 0B             23
79.10%              68.37MiB / 1.944GiB   3.43%               127MB / 497MB       0B / 0B             23
79.10%              68.37MiB / 1.944GiB   3.43%               127MB / 497MB       0B / 0B             23
110.25%             70.74MiB / 1.944GiB   3.55%               128MB / 504MB       0B / 0B             23
110.25%             70.74MiB / 1.944GiB   3.55%               128MB / 504MB       0B / 0B             23
101.04%             67.3MiB / 1.944GiB   3.38%               130MB / 510MB       0B / 0B             23
101.04%             67.3MiB / 1.944GiB   3.38%               130MB / 510MB       0B / 0B             23
91.26%              65.98MiB / 1.944GiB   3.31%               131MB / 516MB       0B / 0B             23
91.26%              65.98MiB / 1.944GiB   3.31%               131MB / 516MB       0B / 0B             23
54.82%              67.37MiB / 1.944GiB   3.38%               133MB / 519MB       0B / 0B             23
54.82%              67.37MiB / 1.944GiB   3.38%               133MB / 519MB       0B / 0B             23
60.76%              71.57MiB / 1.944GiB   3.60%               134MB / 525MB       0B / 0B             23
60.76%              71.57MiB / 1.944GiB   3.60%               134MB / 525MB       0B / 0B             23
62.57%              72.16MiB / 1.944GiB   3.63%               135MB / 530MB       0B / 0B             23
62.57%              72.16MiB / 1.944GiB   3.63%               135MB / 530MB       0B / 0B             23
102.89%             70.88MiB / 1.944GiB   3.56%               137MB / 537MB       0B / 0B             23
102.89%             70.88MiB / 1.944GiB   3.56%               137MB / 537MB       0B / 0B             23
87.28%              70.39MiB / 1.944GiB   3.54%               138MB / 542MB       0B / 0B             23
87.28%              70.39MiB / 1.944GiB   3.54%               138MB / 542MB       0B / 0B             23
83.10%              69.02MiB / 1.944GiB   3.47%               140MB / 548MB       0B / 0B             23
83.10%              69.02MiB / 1.944GiB   3.47%               140MB / 548MB       0B / 0B             23
60.55%              69.04MiB / 1.944GiB   3.47%               141MB / 554MB       0B / 0B             23
60.55%              69.04MiB / 1.944GiB   3.47%               141MB / 554MB       0B / 0B             23
76.07%              68.23MiB / 1.944GiB   3.43%               143MB / 560MB       0B / 0B             23
76.07%              68.23MiB / 1.944GiB   3.43%               143MB / 560MB       0B / 0B             23
67.81%              68.87MiB / 1.944GiB   3.46%               144MB / 566MB       0B / 0B             23
67.81%              68.87MiB / 1.944GiB   3.46%               144MB / 566MB       0B / 0B             23
67.81%              68.87MiB / 1.944GiB   3.46%               144MB / 566MB       0B / 0B             23
71.62%              67.93MiB / 1.944GiB   3.41%               146MB / 573MB       0B / 0B             23
71.62%              67.93MiB / 1.944GiB   3.41%               146MB / 573MB       0B / 0B             23
81.80%              68.46MiB / 1.944GiB   3.44%               147MB / 579MB       0B / 0B             23
81.80%              68.46MiB / 1.944GiB   3.44%               147MB / 579MB       0B / 0B             23
76.25%              69.05MiB / 1.944GiB   3.47%               149MB / 584MB       0B / 0B             23
76.25%              69.05MiB / 1.944GiB   3.47%               149MB / 584MB       0B / 0B             23
63.78%              69MiB / 1.944GiB    3.47%               150MB / 589MB       0B / 0B             23
63.78%              69MiB / 1.944GiB    3.47%               150MB / 589MB       0B / 0B             23
67.65%              68.45MiB / 1.944GiB   3.44%               152MB / 595MB       0B / 0B             23
67.65%              68.45MiB / 1.944GiB   3.44%               152MB / 595MB       0B / 0B             23
92.67%              71.04MiB / 1.944GiB   3.57%               153MB / 601MB       0B / 0B             23
92.67%              71.04MiB / 1.944GiB   3.57%               153MB / 601MB       0B / 0B             23
76.98%              70.54MiB / 1.944GiB   3.54%               155MB / 607MB       0B / 0B             23
76.98%              70.54MiB / 1.944GiB   3.54%               155MB / 607MB       0B / 0B             23
93.85%              70.95MiB / 1.944GiB   3.56%               156MB / 613MB       0B / 0B             23
93.85%              70.95MiB / 1.944GiB   3.56%               156MB / 613MB       0B / 0B             23
87.45%              69.66MiB / 1.944GiB   3.50%               158MB / 620MB       0B / 0B             23
87.45%              69.66MiB / 1.944GiB   3.50%               158MB / 620MB       0B / 0B             23
69.01%              71.44MiB / 1.944GiB   3.59%               159MB / 625MB       0B / 0B             23
69.01%              71.44MiB / 1.944GiB   3.59%               159MB / 625MB       0B / 0B             23
90.45%              72.2MiB / 1.944GiB   3.63%               161MB / 632MB       0B / 0B             23
90.45%              72.2MiB / 1.944GiB   3.63%               161MB / 632MB       0B / 0B             23
66.08%              69.14MiB / 1.944GiB   3.47%               162MB / 637MB       0B / 0B             23
66.08%              69.14MiB / 1.944GiB   3.47%               162MB / 637MB       0B / 0B             23
63.80%              68.6MiB / 1.944GiB   3.45%               164MB / 644MB       0B / 0B             23
63.80%              68.6MiB / 1.944GiB   3.45%               164MB / 644MB       0B / 0B             23
80.37%              68.77MiB / 1.944GiB   3.46%               166MB / 650MB       0B / 0B             23
80.37%              68.77MiB / 1.944GiB   3.46%               166MB / 650MB       0B / 0B             23
56.71%              70.18MiB / 1.944GiB   3.53%               167MB / 656MB       0B / 0B             23
