CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
100.74%             290MiB / 1.944GiB   14.57%              42.1MB / 32.6MB     0B / 0B             230
100.74%             290MiB / 1.944GiB   14.57%              42.1MB / 32.6MB     0B / 0B             230
102.16%             290.4MiB / 1.944GiB   14.59%              44.2MB / 34.2MB     0B / 0B             230
102.16%             290.4MiB / 1.944GiB   14.59%              44.2MB / 34.2MB     0B / 0B             230
101.69%             304.8MiB / 1.944GiB   15.31%              45.9MB / 35.3MB     0B / 0B             230
101.69%             304.8MiB / 1.944GiB   15.31%              45.9MB / 35.3MB     0B / 0B             230
99.89%              310.1MiB / 1.944GiB   15.58%              47.6MB / 36.9MB     0B / 0B             230
99.89%              310.1MiB / 1.944GiB   15.58%              47.6MB / 36.9MB     0B / 0B             230
101.65%             311.6MiB / 1.944GiB   15.66%              49.6MB / 38.4MB     0B / 0B             230
101.65%             311.6MiB / 1.944GiB   15.66%              49.6MB / 38.4MB     0B / 0B             230
101.56%             311.9MiB / 1.944GiB   15.67%              51.8MB / 40MB       0B / 0B             230
101.56%             311.9MiB / 1.944GiB   15.67%              51.8MB / 40MB       0B / 0B             230
102.27%             305.9MiB / 1.944GiB   15.37%              53.8MB / 41.7MB     0B / 0B             230
102.27%             305.9MiB / 1.944GiB   15.37%              53.8MB / 41.7MB     0B / 0B             230
100.95%             306.5MiB / 1.944GiB   15.40%              55.8MB / 43.2MB     0B / 0B             230
100.95%             306.5MiB / 1.944GiB   15.40%              55.8MB / 43.2MB     0B / 0B             230
100.90%             307.1MiB / 1.944GiB   15.43%              58MB / 44.8MB       0B / 0B             230
100.90%             307.1MiB / 1.944GiB   15.43%              58MB / 44.8MB       0B / 0B             230
101.66%             307.5MiB / 1.944GiB   15.45%              60MB / 46.4MB       0B / 0B             230
101.66%             307.5MiB / 1.944GiB   15.45%              60MB / 46.4MB       0B / 0B             230
102.50%             308MiB / 1.944GiB   15.47%              62.2MB / 48.1MB     0B / 0B             230
102.50%             308MiB / 1.944GiB   15.47%              62.2MB / 48.1MB     0B / 0B             230
101.56%             308MiB / 1.944GiB   15.47%              64.2MB / 49.7MB     0B / 0B             230
101.56%             308MiB / 1.944GiB   15.47%              64.2MB / 49.7MB     0B / 0B             230
95.76%              309MiB / 1.944GiB   15.52%              66.3MB / 51.2MB     0B / 0B             230
95.76%              309MiB / 1.944GiB   15.52%              66.3MB / 51.2MB     0B / 0B             230
